fecha;receta;operador;litros_past;kg_cuba;mg_cuba;mp_cuba;lactosa_cuba;ph_cuajado;ph_inicio_moldeo_cuba;ph_final_moldeo_cuba;formato;ph_inicio_moldeo_queso;ph_inicio_desmoldeo_queso;ph_fin_desmoldeo_queso;tiempo_salado;mg_salida_salmuera;ph_salida_salmuera;EST salida salmuera;peso_queso_total;sal_queso
26/02/2016;receta 14;8.0;11530;12261.51;6.14;4.89;3.94;6.63;6.48;6.41;barra 4,2 kg;;5.7;5.4;15:50;30.62;5.52;58.09;6155.0;1.69
29/02/2016;receta 26;5.0;8830;9237.41;4.65;3.65;4.23;6.57;6.41;6.35;1 kg;6.31;5.48;5.28;8:05;30.47;5.43;57.6;3673.0;1.68
29/02/2016;receta 16;5.0;8830;9277.82;4.93;3.85;4.45;6.57;6.4;6.33;barra 3 kg;6.27;5.34;5.05;;32.46;5.51;58.49;10503.0;1.75
29/02/2016;receta 16;5.0;8830;9174.15;4.5;3.55;4.11;6.57;6.42;6.35;barra 3 kg;6.25;5.28;5.04;;31.06;5.62;56.19;30.0;1.73
29/02/2016;receta 02;5.0;9160;9217.12;6.55;5.18;4.23;6.55;6.48;6.4;3 kg;6.4;5.55;5.36;;29.54;5.31;56.86;14211.0;1.83
29/02/2016;receta 27;6.0;8630;9197.32;4.57;3.61;4.22;6.53;6.38;;mini;6.22;5.25;508.0;6:25;32.64;5.29;59.04;5140.0;1.16
29/02/2016;receta 03;6.0;12000;12000.0;4.78;3.72;4.39;6.59;6.35;6.22;3 kg;6.31;5.23;5.06;16:30;31.51;5.42;57.17;15964.0;1.18
29/02/2016;receta 06;6.0;11530;11945.0;5.44;4.05;4.24;6.51;6.39;6.3;3 kg;6.37;5.76;5.38;19:15;31.97;5.39;57.31;8107.7;1.63
01/03/2016;receta 10;5.0;9620;10313.67;4.64;3.67;4.27;6.55;6.42;6.35;barra 4,2 kg;6.3;5.37;5.2;11:55;31.73;5.46;58.44;10312.0;1.26
01/03/2016;receta 09;5.0;13030;13867.37;2.47;3.43;4.51;6.6;6.48;6.4;3 kg;6.33;5.49;5.3;5:20;21.15;5.34;53.32;1536.0;1.17
01/03/2016;receta 08;5.0;13030;13721.55;2.63;3.64;4.88;6.58;6.48;6.4;barra 4,2 kg;6.37;5.7;5.49;4:35;19.91;5.52;49.71;16234.6;1.55
01/03/2016;receta 02;5.0;8530;9171.78;6.18;4.94;3.9;6.62;6.47;6.41;3 kg;6.4;5.44;5.35;38:20:00;32.08;5.44;59.51;3033.0;1.02
01/03/2016;receta 11;5.0;12530;13083.23;4.84;3.84;4.49;6.57;6.36;6.2;3 kg;6.25;5.13;4.95;15:10;32.11;5.25;58.84;21863.0;1.32
01/03/2016;receta 07;6.0;14030;14532.38;4.68;3.35;4.39;6.59;6.43;6.33;barra 4,2 kg;6.35;5.3;5.1;15:15;32.05;5.47;57.99;5628.0;1.5
01/03/2016;receta 12;6.0;14030;14763.67;5.06;4.04;4.17;6.58;6.42;;barra 4,2 kg;6.24;5.3;507.0;13:40;31.27;5.36;58.21;10314.7;1.14
01/03/2016;receta 28;6.0;14820;15810.99;5.03;3.97;3.85;6.56;6.44;6.38;barra 4,2 kg;6.38;5.5;5.24;#Â¡VALOR!;30.76;5.41;56.94;2351.0;1.55
02/03/2016;receta 29;5.0;8530;8971.6;5.07;4.01;4.08;6.55;6.42;6.35;3 kg;6.33;5.65;5.28;0:35;30.5;5.72;56.22;5253.0;0.67
02/03/2016;receta 16;5.0;7430;7811.01;5.08;4.03;4.09;6.56;6.43;6.37;barra 3 kg;6.32;5.64;5.31;16:00;31.36;5.48;57.86;18109.0;1.1
02/03/2016;receta 30;5.0;9520;9749.66;4.67;3.67;4.08;6.54;6.38;6.26;mini;6.31;5.7;5.28;3:50;31.98;5.37;58.42;4282.0;1.1
02/03/2016;receta 21;5.0;9740;10226.81;5.16;4.12;4.31;6.55;6.43;6.36;mini;6.35;5.72;5.37;4:10;;;;10070.0;
02/03/2016;receta 20;6.0;9520;9791.85;5.08;3.5;4.63;6.5;6.42;;mini;6.41;567.0;540.0;3:00;30.89;5.79;56.05;8007.5;1.44
02/03/2016;receta 17;6.0;8220;8850.29;5.27;4.18;4.4;6.52;6.4;6.28;barra 3 kg;6.24;5.33;4.93;17:00;32.87;5.49;58.85;4489.0;1.12
04/03/2016;receta 14;5.0;11030;11572.57;6.65;5.13;4.15;6.53;6.46;6.41;barra 4,2 kg;6.41;5.98;5.62;14:05;31.13;5.44;57.79;4654.0;1.55
04/03/2016;receta 10;5.0;13530;14495.5;4.68;3.68;4.32;6.56;6.25;6.27;barra 4,2 kg;5.9;5.21;5.1;2:55;32.3;5.64;59.01;12182.0;0.68
04/03/2016;receta 31;5.0;11890;12344.19;5.86;4.55;3.96;6.53;6.47;6.42;barra 4,2 kg;6.39;5.8;5.51;10:20;;;;2051.0;
04/03/2016;receta 28;5.0;14020;14989.74;4.87;3.95;3.68;6.58;6.49;6.41;barra 4,2 kg;;5.72;5.57;10:20;31.36;5.88;55.18;2266.0;1.77
04/03/2016;receta 02;5.0;11530;12045.97;6.57;5.25;4.23;6.53;6.47;6.38;3 kg;6.42;5.7;5.34;16:10;30.76;5.33;56.91;9165.0;1.79
04/03/2016;receta 29;5.0;13530;14131.77;5.2;4.11;4.3;6.56;6.4;6.31;3 kg;6.3;5.14;5.01;13:45;30.82;5.44;57.22;2397.0;1.02
04/03/2016;receta 29;5.0;10300;13619.0;5.18;4.08;4.29;6.53;6.36;6.22;3 kg;6.28;5.12;4.9;13:05;;;;4077.4;
04/03/2016;receta 06;5.0;12030;12535.41;5.37;3.99;4.28;6.48;6.38;6.33;3 kg;6.24;5.36;4.96;15:35;31.41;5.31;57.2;13619.0;1.48
04/03/2016;receta 12;5.0;13310;14157.95;5.32;4.19;4.31;6.54;6.38;6.28;barra 4,2 kg;6.35;5.65;5.37;11:40;31.55;5.4;58.62;16906.0;1.19
04/03/2016;receta 25;6.0;14030;15275.38;4.7;3.72;4.26;6.53;6.3;6.2;barra 4,2 kg;6.13;5.23;5.16;16:40;31.88;5.33;58.13;3911.0;1.28
07/03/2016;receta 17;8.0;9280;10207.33;5.04;4.04;4.23;6.52;6.46;6.35;barra 3 kg;;;;;;;;12975.0;
