Fecha;Num_Cuba;Lote;FORMATO;PH;ES;MG;SAL
31/07/2015;30;32315;Barra 4,2 kg;5,52;56,87;31,98;1,51
01/07/2015;9;29315;Barra 3 kg;5,46;59,09;32,61;1,42
30/06/2015;15;29215;Barra 4,2 kg;5,47;57,47;31,5;1,22
14/07/2015;9;30615;Barra 4,2 kg;5,51;57,09;31,27;1,34
24/06/2015;6;28615;Barra 3 kg;5,37;58,03;31,55;1,34
25/02/2015;4;16715;500 g;5,61;56,98;30,86;1,11
05/10/2015;14;38915;3 KG;5,43;57,95;32,17;1,34
10/03/2015;5;18015;Barra 4,2 kg;5,4;57,26;30,78;0,81
13/04/2015;28;21415;3 KG;5,45;58,86;32;1,16
18/01/2016;24;12916;3 KG;5,47;58,44;31,98;1,41
20/10/2015;15;40415;Barra 4,2 kg;5,37;57,75;30,67;1,45
02/03/2015;31;17215;Barra 3 kg;5,55;57,97;31,81;1,3
01/02/2016;29;14316;3 KG;5,39;58,45;32,52;1,5
15/02/2016;17;15716;3 KG;5,52;58,15;32,53;1,44
15/07/2015;13;30715;500 g;5,64;57,81;30,48;0,79
20/05/2016;25;25216;3 KG;5,28;58,77;32,9;1,36
30/11/2015;15;44515;3 KG;5,45;57,55;31,48;1,69
09/11/2015;14;42415;3 KG;5,5;56,31;30,78;1,83
03/02/2016;32;14516;Barra 3 kg;5,49;57,51;31,4;1,16
01/06/2015;3;26315;Barra 3 kg;5,61;58,55;32,22;1,25
19/10/2015;17;40315;3 KG;5,45;58,28;31,84;1,45
16/05/2016;29;24816;Barra 3 kg;5,4;57,67;31,72;1,67
17/03/2015;5;18715;Barra 4,2 kg;5,48;57,66;31,6;0,93
14/10/2015;2;39815;Barra 3 kg;5,55;56,81;31,06;1,95
19/03/2015;5;18915;500 g;5,62;57,67;30,99;0,8
04/02/2015;20;14615;Barra 3 kg;5,83;57,6;30,81;1,96
08/02/2016;15;15016;3 KG;5,52;58,54;32,09;1,6
16/04/2015;12;21715;Barra 3 kg;5,53;NA;NA;NA
04/01/2016;36;11516;3 KG;5,49;57,66;32,06;1,86
09/02/2015;25;15115;3 KG;5,41;57,59;31,69;1,67
21/10/2015;23;40515;Barra 3 kg;5,44;57,7;31,24;1,65
10/02/2016;10;15216;Barra 3 kg;5,43;56,37;30,67;1,48
25/02/2016;3;16716;500 g;5,61;57,24;31,06;1,63
11/01/2016;2;12216;1 kg;5,6;56,45;30,19;1,44
14/09/2015;16;36815;3 KG;5,43;58,62;32,02;1,11
14/03/2016;21;18516;Barra 3 kg;5,4;57,62;31,82;1,56
28/10/2015;3;41215;Barra 3 kg;5,43;58,14;32,82;1,66
02/03/2015;5;17215;3 KG;5,26;58,01;31,81;1,25
06/06/2016;4;26916;1 kg;5,6;57,9;31,69;0,99
07/10/2015;12;39115;Barra 3 kg;5,44;56,76;30,41;1,51
04/03/2016;10;17516;Barra 4,2 kg;5,65;59,17;32,84;1,23
12/03/2015;34;18215;Barra 3 kg;5,5;57;30,28;1,47
01/05/2015;2;23215;Barra 4,2 kg;5,36;58,13;32,14;1,21
06/11/2015;1;42115;Barra 4,2 kg;5,47;57,43;31,66;1,1
25/03/2015;4;19515;Barra 3 kg;5,73;57,49;31,49;1,93
24/03/2015;9;19415;Barra 4,2 kg;5,53;58,1;31,38;1
26/01/2016;19;13716;Barra 4,2 kg;5,33;57,44;31,27;1,24
29/04/2015;16;23015;500 g;5,58;57,55;30,25;0,86
17/11/2015;3;43215;1 kg;5,69;57,04;30,69;1,38
27/04/2015;36;22815;1 kg;5,55;58,82;32,29;1,03
01/04/2015;6;20215;500 g;5,42;57,94;31,79;0,66
12/11/2015;5;42715;Barra 3 kg;5,48;57,73;32,06;1,54
07/10/2015;27;39115;Barra 3 kg;5,39;58,47;32,25;1,31
11/04/2016;19;21316;3 KG;5,54;57,2;31,28;1,2
06/04/2015;7;20715;3 KG;5,32;57,5;30,99;1,27
13/04/2015;32;21415;3 KG;5,36;56,45;31,45;1,22
06/04/2015;17;20715;3 KG;5,41;58,41;31,68;1,3
28/01/2016;30;13916;Barra 3 kg;5,55;57,24;31,51;1,31
29/02/2016;12;17116;Barra 3 kg;5,45;57,9;30,86;1,16
05/03/2015;7;17515;Barra 3 kg;5,51;57,61;30,55;1,21
08/07/2015;9;30015;Barra 3 kg;5,62;57,5;31,99;1,16
10/06/2015;13;27215;Barra 3 kg;5,61;58;32,16;1,24
30/09/2015;5;38415;Barra 3 kg;5,43;56,94;31,14;1,33
02/05/2016;13;23416;3 KG;5,4;56,21;31,33;1,63
14/04/2015;3;21515;Barra 4,2 kg;NA;NA;NA;NA
18/05/2016;11;25016;Barra 3 kg;5,47;59,46;33,57;1,1
21/03/2016;23;19216;Barra 3 kg;5,41;58,78;32,93;1,08
01/02/2016;8;14316;Barra 3 kg;5,54;57,31;31,24;1,49
09/02/2015;30;15115;3 KG;5,45;57,09;31,65;1,79
12/11/2015;9;42715;Barra 3 kg;5,47;58,26;32,36;1,12
15/06/2015;2;27715;1 kg;5,57;58,59;32,58;1,08
13/04/2015;22;21415;3 KG;5,4;57,68;31,23;1,27
18/02/2015;16;16015;Barra 3 kg;5,5;57,67;31,08;1,16
09/05/2016;32;24116;Barra 3 kg;5,35;57,91;32,37;1,18
22/07/2015;16;31415;Barra 3 kg;5,5;56,65;31,02;1,21
25/03/2015;7;19515;500 g;5,51;56,6;29,59;1,54
07/04/2015;12;20815;Barra 3 kg;5,44;57,36;31,09;1,28
09/11/2015;5;42415;3 KG;5,45;56,09;31,04;1,77
30/10/2015;8;41415;Barra 4,2 kg;5,39;58,53;32,42;1,17
25/03/2015;24;19515;Barra 3 kg;5,64;57,65;31,29;1,25
16/02/2015;21;15815;3 KG;5,44;57,02;30,96;1,51
03/04/2015;2;20415;Barra 4,2 kg;5,37;58,4;31,71;1,21
20/10/2015;23;40415;Barra 4,2 kg;5,45;56,91;30,72;1,56
29/06/2015;9;29115;1 kg;5,47;58,95;31,45;1,21
10/02/2016;31;15216;Barra 3 kg;5,5;56,28;30,93;1,51
25/04/2016;2;22716;1 kg;5,56;56,86;30,89;1,72
17/02/2015;10;15915;3 KG;5,36;57,51;31,72;1,15
05/11/2015;3;42015;Barra 3 kg;5,49;57,05;31,35;1,8
03/08/2015;14;32615;Barra 3 kg;5,49;57;31,36;1,47
16/03/2015;23;18615;Barra 3 kg;5,56;56,08;30,44;1,03
28/10/2015;10;41215;500 g;5,36;59,23;31,65;1,32
31/08/2015;13;35415;3 KG;5,49;57,95;32,2;1,61
09/03/2015;29;17915;3 KG;5,51;56,93;30,04;1,4
13/06/2016;15;27616;3 KG;5,37;57,81;32,19;1,1
31/03/2015;7;20115;Barra 3 kg;5,54;58,7;32,8;1,06
16/05/2016;8;24816;3 KG;5,32;56,81;30,88;1,42
19/03/2015;13;18915;Barra 3 kg;5,67;57,68;31,92;1,62
05/03/2015;3;17515;Barra 3 kg;5,4;56,51;30,59;1,62
11/05/2015;25;24215;3 KG;5,25;57,15;30,83;1,4
12/05/2015;21;24315;Barra 4,2 kg;5,49;58,65;31,42;1,14
21/09/2015;28;37515;3 KG;5,5;57,76;32,18;1,22
02/12/2015;8;44715;Barra 3 kg;5,53;57,33;31,72;1,74
14/04/2015;4;21515;Barra 4,2 kg;5,53;57,87;32,06;1,06
14/10/2015;27;39815;Barra 3 kg;5,47;58,64;31,83;1,05
20/04/2016;14;22216;Barra 3 kg;5,39;57,5;31,59;1,37
10/03/2016;6;18116;Barra 3 kg;5,68;57,48;31,48;1,51
02/12/2015;6;44715;Barra 3 kg;5,41;58,2;32,2;1,95
31/03/2015;6;20115;Barra 3 kg;5,52;57,32;31,26;1,18
01/02/2016;7;14316;Barra 3 kg;5,53;58,35;31,92;1,2
28/07/2015;15;32015;Barra 4,2 kg;5,41;57,44;31,2;1,14
30/03/2016;7;20116;Barra 3 kg;5,56;57,77;31,33;1,89
02/12/2015;12;44715;Barra 3 kg;5,54;57,96;32,3;1,47
12/01/2016;2;12316;Barra 3 kg;5,35;57,01;31,28;1,47
07/05/2015;15;23815;Barra 3 kg;5,42;57,18;31,22;1,53
17/02/2015;8;15915;3 KG;5,46;57,33;31,8;1,22
10/02/2016;9;15216;Barra 3 kg;5,5;57,55;31,64;1,48
30/05/2016;29;26216;3 KG;5,46;58,23;31,86;1,43
25/04/2016;20;22716;3 KG;5,43;57,3;30,41;1,28
17/11/2015;11;43215;1 kg;5,56;55,74;29,89;1,35
30/11/2015;3;44515;Barra 4,2 kg;5,4;58,16;31,21;1,44
25/02/2015;6;16715;Barra 3 kg;5,53;57,09;31;1,52
12/05/2016;4;24416;Barra 3 kg;5,43;56,7;30,56;1,58
28/04/2016;12;23016;500 g;5,6;56,32;29,23;0,97
22/07/2015;3;31415;Barra 3 kg;5,5;58,69;32,75;1,13
15/06/2016;12;27816;1 kg;5,42;55,44;29,78;1,44
12/06/2015;15;27415;Barra 4,2 kg;5,6;57,77;32,02;1,3
30/09/2015;15;38415;Barra 3 kg;5,42;57,57;31,45;1,26
25/05/2016;25;25716;Barra 3 kg;5,54;56,8;30,72;1,6
30/03/2015;16;20015;Barra 3 kg;5,55;57,94;31,69;1,08
18/01/2016;31;12916;3 KG;5,47;58,15;31,31;1,25
16/03/2015;36;18615;Barra 3 kg;5,59;57,97;31,06;1,26
14/10/2015;21;39815;Barra 3 kg;5,54;57,94;31,53;1,23
24/09/2015;23;37815;Barra 3 kg;5,43;58,51;31,65;1,09
04/08/2015;4;32715;Barra 4,2 kg;5,44;58,4;31,77;1,1
28/09/2015;12;38215;3 KG;5,41;57,49;31,39;1,35
24/02/2016;16;16616;Barra 3 kg;5,41;57,58;31,92;1
01/07/2015;7;29315;Barra 3 kg;5,6;58,37;32,29;1,47
07/10/2015;14;39115;Barra 3 kg;5,37;56,79;30,75;1,57
12/02/2015;8;15415;Barra 3 kg;5,47;57,25;31,03;1,26
18/05/2016;3;25016;Barra 3 kg;5,45;59,72;34,67;1,41
07/12/2015;2;45215;500 g;5,8;57,07;30,67;1,49
08/03/2016;38;17916;Barra 4,2 kg;5,54;57,84;31,29;1,08
24/02/2016;9;16616;Barra 3 kg;5,48;59,1;32,36;1,03
28/08/2015;5;35115;Barra 4,2 kg;5,42;58,45;32,28;0,93
24/06/2015;5;28615;Barra 3 kg;5,36;58,11;31,66;1,33
15/07/2015;30;30715;Barra 3 kg;5,66;57,21;31,79;1,26
25/02/2015;11;16715;Barra 3 kg;5,41;58,08;31,42;0,95
04/04/2016;29;20616;3 KG;5,5;56,82;31,01;1,64
14/03/2016;14;18516;Barra 3 kg;5,57;57,15;31,11;1,54
19/03/2015;9;18915;Barra 3 kg;5,57;57,42;31,41;1,21
15/06/2015;35;27715;3 KG;5,46;57,28;31,46;1,46
25/01/2016;28;13616;3 KG;5,53;57,6;31,71;1,39
20/02/2015;18;16215;Barra 4,2 kg;5,38;56,25;30,06;1,18
09/03/2015;28;17915;3 KG;5,59;57,24;31,25;1,29
19/03/2015;7;18915;500 g;5,4;59,72;31,42;0,89
23/04/2015;15;22415;Barra 3 kg;5,47;58,26;32,55;1,23
07/04/2015;30;20815;Barra 3 kg;5,51;58,32;31,75;1,08
17/03/2015;14;18715;Barra 4,2 kg;5,53;57,66;30,9;1,11
01/05/2015;5;23215;Barra 4,2 kg;5,34;58,96;32,5;1,21
21/10/2015;25;40515;Barra 3 kg;5,42;57,71;31,42;1,36
07/07/2015;5;29915;Barra 4,2 kg;5,45;58,78;32,2;1,16
25/05/2015;18;25615;3 KG;5,65;57,11;31,36;1,35
08/02/2016;22;15016;3 KG;5,46;57,49;31,47;1,84
24/09/2015;35;37815;Barra 3 kg;5,52;56,66;30,67;1,93
15/06/2015;6;27715;Barra 3 kg;5,51;58,37;32,2;0,97
05/01/2016;8;11616;Barra 3 kg;5,52;57,82;31,4;1,07
18/11/2015;2;43315;Barra 3 kg;5,44;57,85;31,4;1,04
01/07/2015;31;29315;Barra 3 kg;5,47;56,87;30,86;1,99
23/04/2015;2;22415;Barra 3 kg;5,54;57,69;31,67;1,51
23/10/2015;8;40715;Barra 4,2 kg;5,29;57,75;31,47;1,3
15/06/2015;14;27715;Barra 3 kg;5,56;56,8;31,66;1,18
02/02/2015;12;14415;3 KG;5,52;57,2;32,06;1,36
20/11/2015;16;43515;3 KG;5,43;58,33;31,93;1,8
21/09/2015;13;37515;500 g;5,47;57,92;31,78;1,13
04/02/2015;7;14615;Barra 3 kg;5,5;56,54;30,06;1,18
28/03/2016;30;19916;Barra 3 kg;5,36;57,59;30,75;1,63
07/08/2015;10;33015;500 g;5,53;57,9;31,18;1,1
13/06/2016;23;27616;3 KG;5,39;57,72;31,94;1,35
03/06/2016;9;26616;Barra 4,2 kg;5,28;58,35;30,86;1,14
19/06/2015;24;28115;3 KG;5,55;56,64;30,84;1,86
15/06/2015;31;27715;3 KG;5,42;56,81;30,88;1,44
09/03/2015;4;17915;1 kg;5,38;58,8;31,81;1,14
15/02/2016;18;15716;3 KG;5,53;58,23;31,87;1,52
05/11/2015;25;42015;Barra 3 kg;5,48;58,5;31,9;1,75
25/05/2016;18;25716;Barra 3 kg;5,46;57,83;31,61;1,59
15/02/2016;3;15716;1 kg;5,44;58,06;31,47;1,63
02/11/2015;12;41715;3 KG;5,41;57,42;31,55;2
08/06/2016;18;27116;Barra 3 kg;5,46;57,74;32,61;1,18
24/09/2015;17;37815;Barra 3 kg;5,49;57,53;31,98;1,2
26/05/2015;23;25715;3 KG;5,42;58,72;32,25;1,26
28/09/2015;21;38215;3 KG;5,51;57,2;31,99;1,8
17/06/2015;19;27915;Barra 3 kg;5,46;58,43;32,4;1,23
22/03/2016;10;19316;Barra 3 kg;5,46;56,8;30,93;1,49
20/04/2015;29;22115;3 KG;5,58;57,51;32,22;1,18
06/04/2015;37;20715;3 KG;5,39;59,2;32,59;1
19/08/2015;9;34215;500 g;5,35;58,57;32,57;1,12
20/08/2015;1;34315;Barra 3 kg;5,52;57,11;31,47;1,49
15/06/2016;28;27816;Barra 3 kg;5,42;32,65;20,62;1,22
28/10/2015;17;41215;Barra 3 kg;5,39;58,12;32,77;1,57
15/06/2015;10;27715;Barra 3 kg;5,5;57,79;32,27;1,23
20/07/2015;26;31215;3 KG;5,47;57,35;31,33;1,21
10/03/2016;25;18116;500 g;5,57;56,61;30,16;1,36
25/01/2016;8;13616;Barra 3 kg;5,5;57,91;31,2;1,12
28/03/2016;20;19916;Barra 3 kg;5,53;57,19;30,92;1,98
12/11/2015;24;42715;Barra 3 kg;5,44;57,42;31,52;1,6
29/02/2016;1;17116;1 kg;5,42;55,79;30,33;1,84
11/01/2016;19;12216;3 KG;5,47;56,59;30,93;1,57
16/02/2015;2;15815;Barra 3 kg;5,52;58,4;32,13;1,62
22/04/2016;11;22416;Barra 4,2 kg;5,32;58,17;32,13;1,56
02/03/2015;15;17215;3 KG;5,42;57,97;31,41;1
