fecha;fabricacion;est;mg;ph;cloruros;coliformes
04/08/2020;1;46,95;25;4,63;1,18;1600
08/08/2020;1;46,3;23;4,69;1,22;0
09/08/2020;1;48,48;25,5;4,6;1,22;10
10/08/2020;1;47,18;24,5;4,7;1,57;330
11/08/2020;1;46,36;23;4,6;1,63;1600
12/08/2020;1;48,52;24,5;4,6;1,47;20200
16/08/2020;1;49,08;26;4,66;1,3;10
17/08/2020;1;49,21;24,5;4,68;1,52;0
18/08/2020;1;50,3;25;4,68;1,49;6500
19/08/2020;1;48,09;25;4,69;1,46;80
22/08/2020;1;47,59;24,5;4,68;1,34;10
23/08/2020;1;47,59;24;4,62;1,49;120
24/08/2020;1;49,07;25;4,63;1,31;900
25/08/2020;1;46,29;23,5;4,68;1,57;120
29/08/2020;1;45,98;23,5;4,54;1,52;0
30/08/2020;1;47,03;25;4,57;1,31;0
31/08/2020;1;48,69;24,5;4,67;1,46;5
01/09/2020;1;47,82;25;4,66;1,37;100
02/09/2020;1;47,94;24;4,57;1,28;0
05/09/2020;1;48,05;23,5;4,63;1,25;30
06/09/2020;1;47,95;24;4,74;1,52;0
07/09/2020;1;48,83;24;4,72;1,22;3020
12/09/2020;1;47,35;24;4,67;1,57;50
13/09/2020;1;47,97;25;4,6;1,31;0
14/09/2020;1;47,3;24,5;4,62;1,43;30
15/09/2020;1;47,29;25;4,64;1,49;110
19/09/2020;1;47,89;24;4,49;1,31;5
20/09/2020;1;46,95;24,5;4,63;1,52;10
21/09/2020;1;46,25;23,5;4,59;1,66;10
22/09/2020;1;46,57;23,5;4,61;1,66;0
26/09/2020;1;46,9;23;4,63;1,25;0
27/09/2020;1;46,74;24;4,65;1,31;0
28/09/2020;1;46,57;23,5;4,63;1,4;0
30/09/2020;1;45,51;23;4,64;1,52;340
03/10/2020;1;45,99;24;4,67;1,43;0
04/10/2020;1;46,9;24,5;4,67;1,37;5
05/10/2020;1;46,44;23;4,59;1,43;0
06/10/2020;1;45,86;22,5;4,62;1,52;0
07/10/2020;1;44,89;23;4,66;1,28;130
10/10/2020;1;46,19;24;4,53;1,49;730
11/10/2020;1;46,8;24;4,66;1,25;0
13/10/2020;1;45,9;22,5;4,7;1,37;0
17/10/2020;1;45,61;23;4,62;1,4;0
18/10/2020;1;44,81;24;4,51;1,43;0
19/10/2020;1;46,73;25;4,6;1,28;0
20/10/2020;1;44,7;22;4,61;1,4;0
21/10/2020;1;45,3;22,5;4,57;1,55;0
24/10/2020;1;47,4;24,5;4,64;1,52;30
25/10/2020;1;48,36;25;4,63;1,55;0
26/10/2020;1;46,99;24,5;4,67;1,4;2000
27/10/2020;1;47;23,5;4,6;1,43;50
02/11/2020;1;46,15;22,5;4,58;1,55;50
02/11/2020;2;46,15;22,5;4,58;1,55;50
03/11/2020;1;45,57;22,5;4,58;1,63;0
03/11/2020;2;45,57;22,5;4,58;1,63;0
04/11/2020;1;48,49;25,5;4,69;1,57;820
04/11/2020;2;48,49;21,5;4,69;1,57;320
07/11/2020;1;47,7;24;4,55;1,43;
08/11/2020;1;46,69;24,5;4,55;1,34;10
09/11/2020;1;47,98;24;4,61;1,31;0
10/11/2020;1;48,18;25;4,7;1,28;280
11/11/2020;1;45,36;23,5;4,62;1,55;100
14/11/2020;1;47,92;24;4,61;1,46;10
15/11/2020;1;46,17;23,5;4,72;1,4;320
16/11/2020;1;47,14;24,5;4,67;1,37;10
17/11/2020;1;48,58;25;4,66;1,31;760
21/11/2020;1;45,26;23;4,66;1,34;0
22/11/2020;1;46,14;23,5;4,65;1,37;30
23/11/2020;1;44,55;22,5;4,64;1,24;0
24/11/2020;1;44,36;24,5;4,68;1,31;1130
25/11/2020;1;45,84;23;4,68;1,4;1050
29/11/2020;1;45,94;24,5;4,7;1,37;0
30/11/2020;1;45,7;22;4,78;1,34;0
01/12/2020;1;47,27;23;4,8;1,24;740
02/12/2020;1;45,35;24,5;4,71;1,6;200
07/12/2020;1;46,36;22,5;4,76;1,12;20
12/12/2020;1;47,02;24;4,6;1,31;0
13/12/2020;1;44,42;22,5;4,66;1,43;0
15/12/2020;1;45,31;23,5;4,74;1,46;0
16/12/2020;1;44,77;23,5;4,6;1,34;0
19/12/2020;1;45,75;25;4,72;1,31;0
20/12/2020;1;46,27;23,5;4,74;1,52;9000
21/12/2020;1;47,28;25;4,71;1,31;70
22/12/2020;1;47,12;25;4,83;1,6;1200
23/12/2020;1;46,88;24;4,83;1,43;0
26/12/2020;1;45,53;23;4,79;1,46;10
27/12/2020;1;46,78;23;4,85;1,37;545
28/12/2020;1;46,43;24;4,78;1,28;0
29/12/2020;1;45,79;23;4,74;1,37;13600
29/12/2020;2;43,97;22,5;4,67;1,63;10
