fecha;cod_ruta;leche_tipo;leche_kg;leche_temp;leche_acidez;leche_ph;leche_dens;leche_est;leche_mg;leche_prot;leche_lactosa;leche_caseina
09/11/2015;24;VACA;7780;5,1;15;6,84;1,03;12,6;3,87;3,22;4,72;2,27
09/11/2015;26;VACA;6320;4,4;16;6,81;1,03;12,74;3,84;3,31;4,87;2,35
09/11/2015;32;VACA;22640;5,4;15;6,84;1,03;12,17;3,58;3,16;4,7;2,23
09/11/2015;25;VACA;10040;7,5;15;6,75;1,03;13,08;4,26;3,22;4,83;2,3
09/11/2015;27;VACA;12960;8;15;6,85;1,03;12,63;3,88;3,28;4,79;2,32
09/11/2015;18;VACA;24480;4,8;15;6,84;1,03;12,9;3,82;3,54;4,83;2,51
10/11/2015;22;VACA;23880;6;15;6,8;1,03;12,35;3,57;3,21;4,86;2,26
10/11/2015;24;VACA;19600;8;15;6,82;1,03;12,43;3,73;3,22;4,73;2,26
10/11/2015;28;VACA;15760;6,6;15;6,81;1,03;13,14;4,15;3,36;4,88;2,44
10/11/2015;26;VACA;6320;6,8;15;6,81;1,03;12,76;3,87;3,33;4,87;2,36
10/11/2015;29;VACA;16000;5;15;6,82;1,03;12,16;3,5;3,22;4,69;2,24
10/11/2015;29;VACA;13860;5,8;15;6,83;1,03;12,29;3,57;3,29;4,7;2,31
10/11/2015;32;VACA;25600;2;15;6,81;1,03;12,76;3,74;3,44;4,91;2,46
10/11/2015;25;VACA;9840;5,4;15;6,84;1,03;12,9;4,11;3,25;4,76;2,31
10/11/2015;27;VACA;12080;7;15;6,82;1,03;12,59;3,85;3,33;4,68;2,36
10/11/2015;33;VACA;23140;5,8;15;6,84;1,03;12,19;3,27;3,26;5;2,33
11/11/2015;22;VACA;24320;6;15;6,8;1,03;12,35;3,49;3,21;4,89;2,27
11/11/2015;18;VACA;25600;5,7;15;6,81;1,03;12,6;3,57;3,5;4,77;2,46
11/11/2015;30;VACA;15940;5,1;15;6,85;1,03;12,49;3,61;3,35;4,75;2,34
11/11/2015;30;VACA;9880;4,8;15;6,84;1,03;12,82;3,94;3,35;4,7;2,32
11/11/2015;24;VACA;12860;7,7;15;6,84;1,03;12,29;3,63;3,22;4,63;2,25
11/11/2015;24;VACA;9180;4,4;15;6,8;1,03;12,56;3,82;3,18;4,68;2,24
11/11/2015;26;VACA;6460;4;15;6,81;1,03;12,66;3,7;3,32;4,87;2,35
11/11/2015;32;VACA;24020;5,5;15;6,8;1,03;12,25;3,51;3,21;4,69;2,24
11/11/2015;16;VACA;18320;4,6;15;6,82;1,03;12,17;3,17;3,37;4,86;2,37
11/11/2015;16;VACA;5540;5;15;6,82;1,03;11,9;3,22;3,22;4,75;2,26
11/11/2015;25;VACA;10440;6;15;6,8;1,03;13,02;4,11;3,26;4,83;2,34
11/11/2015;27;VACA;12940;7;15;6,82;1,03;12,64;3,83;3,27;4,78;2,33
11/11/2015;18;VACA;25300;6,2;15;6,86;1,03;13,01;3,84;3,55;4,84;2,54
12/11/2015;14;VACA;19780;6;15;6,78;1,03;12,4;3,5;3,27;4,83;2,29
12/11/2015;32;VACA;25680;3;15;6,84;1,03;12,77;3,68;3,43;4,9;2,46
12/11/2015;26;VACA;6420;4,5;15;8;1,03;12,62;3,65;3,32;4,88;2,37
12/11/2015;28;VACA;16580;6,8;15;6,84;1,03;13,24;4,14;3,38;4,9;2,46
12/11/2015;25;VACA;10860;6,5;15;6,8;1,03;12,88;3,96;3,28;4,82;2,33
12/11/2015;27;VACA;12240;7;15;6,82;1,03;12,7;3,87;3,34;4,68;2,35
12/11/2015;33;VACA;22660;5,5;15;6,81;1,03;12,25;3,25;3,24;4,98;2,3
13/11/2015;22;VACA;24520;5,7;16;6,75;1,03;12,27;3,46;3,21;4,84;2,3
13/11/2015;30;VACA;25700;4;15;6,78;1,03;12,47;3,65;3,32;4,65;2,35
13/11/2015;29;VACA;15920;4;15;6,84;1,03;12,33;3,48;3,18;4,82;2,23
13/11/2015;29;VACA;10580;4;15;6,82;1,03;12,19;3,49;3,18;4,71;2,21
13/11/2015;24;VACA;16060;6,6;15;6,82;1,03;12,31;3,53;3,22;4,74;2,25
13/11/2015;24;VACA;9580;5,7;15;6,82;1,03;12,53;3,77;3,2;4,74;2,24
13/11/2015;32;VACA;9760;4,8;15;6,85;1,03;10,01;2,72;2,7;3,73;1,57
13/11/2015;26;VACA;6300;5,2;15;6,83;1,03;12,63;3,66;3,33;4,88;2,38
13/11/2015;25;VACA;10500;5,4;15;6,84;1,03;13,06;4,11;3,3;4,8;2,33
13/11/2015;27;VACA;12740;7,2;15;6,85;1,03;12,71;3,86;3,28;4,77;2,34
13/11/2015;14;VACA;16300;6,3;15;6,85;1,03;12,5;3,57;3,31;4,85;2,34
13/11/2015;14;VACA;3740;6,3;15;6,85;1,03;12,49;3,49;3,27;4,91;2,31
14/11/2015;22;VACA;24540;6;15;6,85;1,03;12,42;3,51;3,25;4,89;2,29
14/11/2015;24;VACA;15760;6,6;15;6,83;1,03;12,36;3,6;3,25;4,73;2,27
14/11/2015;24;VACA;8040;6;15;6,81;1,03;12,47;3,77;3,24;4,62;2,28
