fabricacion;temperatura;dosis_cuajo;retencion_pct
1;30;20;93,8
2;30;20;93,61
3;30;20;93,84
4;30;30;95,31
5;30;30;94,78
6;30;30;94,78
7;34;20;95,62
8;34;20;95,38
9;34;20;95,01
10;34;30;95,51
11;34;30;95,21
12;34;30;95,21
